"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-01","58","70","51"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-02","59","72","51"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-03","63","77","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-04","60","74","52"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-05","59","70","53"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-06","63","74","57"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-07","62","72","54"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-08","53","68","48"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-09","51","63","45"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-10","54","68","45"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-11","53","65","46"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-12","52","65","44"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-13","52","66","44"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-14","53","66","44"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-15","54","69","46"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-16","50","59","46"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-17","51","62","44"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-18","57","67","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-19","61","70","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-20","56","65","51"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-21","54","67","49"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-22","55","69","47"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-23","63","79","53"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-24","64","79","57"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-25","61","74","51"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-26","54","63","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-27","62","73","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-28","63","77","55"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-29","62","68","54"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-30","63","76","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-01-31","67","79","58"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-01","71","87","61"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-02","62","74","49"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-03","47","54","42"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-04","49","58","43"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-05","51","65","42"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-06","53","68","45"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-07","58","73","48"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-08","57","74","48"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-09","51","57","48"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-10","60","67","52"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-11","60","73","51"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-12","56","70","47"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-13","57","74","46"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-14","58","73","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-15","58","73","51"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-16","58","75","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-17","60","75","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-18","58","76","48"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-19","59","73","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-20","65","82","52"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-21","64","80","54"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-22","55","67","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-23","56","69","49"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-24","60","74","49"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-25","69","84","58"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-26","68","83","60"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-27","69","81","60"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-28","71","90","59"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-02-29","60","73","51"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-01","52","60","46"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-02","58","67","45"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-03","67","84","54"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-04","60","76","51"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-05","64","84","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-06","60","75","51"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-07","55","67","48"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-08","54","69","47"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-09","57","74","45"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-10","56","60","52"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-11","60","73","55"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-12","52","59","48"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-13","51","54","48"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-14","52","56","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-15","53","63","47"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-16","49","54","44"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-17","48","62","41"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-18","51","63","42"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-19","52","63","44"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-20","54","63","46"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-21","56","69","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-22","56","69","48"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-23","54","63","49"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-24","54","66","48"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-25","54","65","45"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-26","50","64","40"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-27","53","67","44"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-28","55","68","45"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-29","56","67","46"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-30","59","76","48"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-03-31","65","81","55"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-01","62","74","53"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-02","60","71","53"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-03","58","70","49"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-04","57","73","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-05","54","65","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-06","52","58","47"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-07","52","68","45"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-08","51","60","45"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-09","47","51","44"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-10","51","61","45"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-11","58","71","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-12","54","59","52"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-13","55","67","49"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-14","64","79","49"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-15","69","83","59"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-16","61","76","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-17","56","68","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-18","56","65","52"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-19","58","71","51"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-20","58","70","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-21","61","73","51"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-22","72","88","55"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-23","77","88","68"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-24","82","98","70"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-25","79","94","64"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-26","74","89","60"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-27","71","82","60"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-28","70","86","58"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-29","65","82","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-04-30","65","81","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-01","65","78","55"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-02","65","79","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-03","65","77","55"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-04","72","84","58"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-05","79","94","66"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-06","81","94","71"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-07","78","96","65"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-08","72","88","61"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-09","66","81","57"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-10","63","77","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-11","64","76","55"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-12","61","72","52"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-13","63","75","52"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-14","67","81","53"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-15","68","79","58"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-16","69","84","58"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-17","67","80","57"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-18","62","72","54"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-19","61","74","50"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-20","63","76","51"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-21","71","89","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-22","65","79","55"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-23","64","77","54"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-24","67","82","55"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-25","72","83","57"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-26","72","92","62"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-27","69","89","57"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-28","65","82","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-29","62","77","57"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-30","64","80","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-05-31","66","81","54"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-01","73","90","58"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-02","73","90","61"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-03","77","97","61"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-04","67","79","59"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-05","62","70","57"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-06","65","78","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-07","67","82","54"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-08","74","90","58"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-09","82","100","69"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-10","85","101","72"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-11","78","93","61"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-12","66","79","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-13","66","81","55"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-14","68","82","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-15","68","83","59"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-16","65","79","56"
"USR0000CBEV","BEVERLY HILLS CALIFORNIA, CA US","2020-06-17","67","78","58"
